id,name,category,status,location,project,owner,description,serial_number,purchase_date,warranty_expiry,created_at,updated_at
1,"DJI Phantom",Surveillance,Active,Bihar,"Surveillance Project","Prakhar Aviation","Surveillance drone - Quantity: 4",DJIPH-SUR-001,"2024-07-30 15:50:42.633773","2027-07-30 15:50:42.633778","2025-07-30 10:20:42",
2,"IIDT FC EGAL-X1","Flight Controller",Active,Delhi,"Flight Controller Project","Prakhar Aviation","Flight Controller drone - Quantity: 1",IIDTF-FLI-002,"2024-07-30 15:50:42.633791","2027-07-30 15:50:42.633792","2025-07-30 10:20:42",
3,"Crystal Ball's",Surveillance,Active,Delhi,"Surveillance Project","Prakhar Aviation","Surveillance drone - Quantity: 2",CRYST-SUR-003,"2024-07-30 15:50:42.633799","2027-07-30 15:50:42.633800","2025-07-30 10:20:42",
4,"Asteria Aerospace",Mapping,Active,Dodi,"Mapping Project","Prakhar Aviation","Mapping drone - Quantity: 2",ASTER-MAP-004,"2024-07-30 15:50:42.633806","2027-07-30 15:50:42.633807","2025-07-30 10:20:42",
5,"Asteria Aerospace",Surveillance,Active,Dodi,"Surveillance Project","Prakhar Aviation","Surveillance drone - Quantity: 2",ASTER-SUR-005,"2024-07-30 15:50:42.633812","2027-07-30 15:50:42.633813","2025-07-30 10:20:42",
6,"FPV ",Defense,Active,Delhi,"Defense Project","Prakhar Aviation","Defense drone - Quantity: 2",FPV-DEF-006,"2024-07-30 15:50:42.633818","2027-07-30 15:50:42.633819","2025-07-30 10:20:42",
7,"Killer FPV ",Defense,Active,"Pune ","Defense Project","Prakhar Aviation","Defense drone - Quantity: 1",KILLE-DEF-007,"2024-07-30 15:50:42.633823","2027-07-30 15:50:42.633824","2025-07-30 10:20:42",
8,"RTK GPS MODULE",hardware,Active,Dodi,"Spray  Project","Prakhar Aviation","Spray  drone - Quantity: 3",AGRIC-SPR-008,"2024-07-30 15:50:42.633828","2027-07-30 15:50:42.633829","2025-07-30 10:20:42","2025-07-31 11:55:04"
9,"DJI Mavic 3 Pro",Drones,Active,"PSSL Headquarters","Aerial Survey",PSSL,"Professional drone for aerial photography and mapping with 4K camera",DJIM3P-PSSL-001,"2024-07-30 15:50:42.635740","2027-07-30 15:50:42.635746","2025-07-30 10:20:42",
10,"Thermal Imaging Camera",Sensors,Active,"IIDT Research Center","Search and Rescue",IIDT,"High-resolution thermal imaging camera for night operations",THCAM-IIDT-002,"2024-10-03 15:50:42.635748","2028-07-25 00:00:00.000000","2025-07-30 10:20:42","2025-07-31 05:11:51"
11,"RTK GPS Module",Navigation,Active,"Prakhar Aviation Training Center","Precision Agriculture","Prakhar Aviation","Real-time kinematic GPS for centimeter accuracy positioning",RTKGPS-PAV-003,"2024-12-02 15:50:42.635750","2027-07-30 15:50:42.635751","2025-07-30 10:20:42",
12,"LiDAR Scanner",Sensors,Maintenance,"PSSL Branch Office - Mumbai","3D Mapping",PSSL,"Light Detection and Ranging scanner for 3D terrain mapping",LIDAR-PSSL-004,"2025-01-31 15:50:42.635753","2027-01-26 15:50:42.635754","2025-07-30 10:20:42",
13,"Multispectral Camera",Sensors,Active,"IIDT Satellite Office - Chennai","Precision Agriculture",IIDT,"Camera for capturing multiple spectral bands for crop analysis",MSCAM-IIDT-005,"2025-04-01 15:50:42.635755","2027-07-30 15:50:42.635756","2025-07-30 10:20:42",
14,"Drone Battery Pack",Accessories,Active,"Prakhar Aviation Maintenance Hub","Fleet Maintenance","Prakhar Aviation","High-capacity lithium battery pack for extended flight time",BAT-PAV-006,"2025-05-01 15:50:42.635757","2026-07-30 15:50:42.635758","2025-07-30 10:20:42",
15,"Ground Control Station","Control Systems",Active,"PSSL Data Center","Data Processing Center",PSSL,"Computer system for monitoring and controlling drone operations",GCS-PSSL-007,"2025-05-31 15:50:42.635760","2027-07-30 15:50:42.635761","2025-07-30 10:20:42",
16,"Weather Station",Sensors,Active,"IIDT Field Station - Dehradun","Environmental Monitoring",IIDT,"Automated weather monitoring station for flight planning",WS-IIDT-008,"2025-06-30 15:50:42.635762","2027-07-30 15:50:42.635763","2025-07-30 10:20:42",
17,"Drone Propeller Set",Accessories,Idle,"Prakhar Aviation Maintenance Hub","Fleet Maintenance","Prakhar Aviation","Set of 4 high-efficiency propellers for drone replacement",PROP-PAV-009,"2025-07-15 15:50:42.635764","2026-01-26 15:50:42.635765","2025-07-30 10:20:42",
18,"Payload Gimbal",Accessories,Active,"PSSL Headquarters","Aerial Survey",PSSL,"3-axis gimbal for stabilizing camera payload during flight",GIMBAL-PSSL-010,"2025-07-23 15:50:42.635766","2027-07-30 15:50:42.635767","2025-07-30 10:20:42",
19,"Test Component",Drones,Active,Headquarters,"Test Project",IIDT,"Test component for API testing",TEST-001,"2024-01-01 00:00:00.000000","2027-01-01 00:00:00.000000","2025-07-31 09:54:17",
