id,thumbnail_url,name,status,progress,category,funding_type,funding_body,funding_received,report_links,created_at,updated_at
1,https://images.unsplash.com/photo-1506744038136-46273834b3fb?auto=format&fit=crop&w=400&q=80,"Autonomous Delivery System",Active,75,Logistics,govt,"Ministry of Civil Aviation",2500000,"[{""label"": ""Q1 2024 Report"", ""url"": ""https://docs.google.com/document/d/abc123""}, {""label"": ""Technical Specifications"", ""url"": ""https://drive.google.com/file/d/def456""}]","2025-07-30 10:20:42",
2,https://images.unsplash.com/photo-1465101046530-73398c7f28ca?auto=format&fit=crop&w=400&q=80,"Urban Surveillance Network",Active,85,Security,self,,1800000,"[{""label"": ""Security Assessment"", ""url"": ""https://docs.google.com/document/d/ghi789""}]","2025-07-30 10:20:42",
3,https://images.unsplash.com/photo-1465101178521-c1a9136a3b99?auto=format&fit=crop&w=400&q=80,"Precision Agriculture Platform",Completed,100,Agriculture,govt,"Department of Agriculture",3200000,"[{""label"": ""Final Report"", ""url"": ""https://docs.google.com/document/d/jkl012""}, {""label"": ""Implementation Guide"", ""url"": ""https://drive.google.com/file/d/mno345""}]","2025-07-30 10:20:42",
4,https://images.unsplash.com/photo-1519125323398-675f0ddb6308?auto=format&fit=crop&w=400&q=80,"Aerial Survey & Mapping",Active,60,Survey,self,,950000,"[{""label"": ""Survey Results Q2"", ""url"": ""https://docs.google.com/document/d/pqr678""}]","2025-07-30 10:20:42",
5,https://images.unsplash.com/photo-1465101046530-73398c7f28ca?auto=format&fit=crop&w=400&q=80,"Disaster Response System",Paused,35,Emergency,govt,"National Disaster Management Authority",1500000,"[{""label"": ""Initial Assessment"", ""url"": ""https://docs.google.com/document/d/stu901""}]","2025-07-30 10:20:42",
6,https://images.unsplash.com/photo-1506744038136-46273834b3fb?auto=format&fit=crop&w=400&q=80,"Drone Pilot Training Program",Completed,100,Training,self,,800000,"[{""label"": ""Training Manual"", ""url"": ""https://docs.google.com/document/d/vwx234""}, {""label"": ""Certification Standards"", ""url"": ""https://drive.google.com/file/d/yzab567""}]","2025-07-30 10:20:42",
7,https://images.unsplash.com/photo-1465101178521-c1a9136a3b99?auto=format&fit=crop&w=400&q=80,"Branch Expansion Initiative",Active,90,Expansion,self,,2100000,"[{""label"": ""Expansion Plan"", ""url"": ""https://docs.google.com/document/d/cdef890""}]","2025-07-30 10:20:42",
8,https://images.unsplash.com/photo-1519125323398-675f0ddb6308?auto=format&fit=crop&w=400&q=80,"Technology Infrastructure Upgrade",Paused,45,Technology,govt,"Ministry of Electronics and IT",1200000,"[{""label"": ""Infrastructure Assessment"", ""url"": ""https://docs.google.com/document/d/ghij123""}]","2025-07-30 10:20:42",
9,https://images.unsplash.com/photo-1506744038136-46273834b3fb?auto=format&fit=crop&w=400&q=80,"Environmental Monitoring System",Active,70,Environmental,govt,"Ministry of Environment",2800000,"[{""label"": ""Environmental Impact Report"", ""url"": ""https://docs.google.com/document/d/klmn456""}, {""label"": ""Monitoring Protocols"", ""url"": ""https://drive.google.com/file/d/opqr789""}]","2025-07-30 10:20:42",
10,https://images.unsplash.com/photo-1465101046530-73398c7f28ca?auto=format&fit=crop&w=400&q=80,"Smart City Integration",Active,55,"Smart Cities",govt,"Smart Cities Mission",4500000,"[{""label"": ""Integration Plan"", ""url"": ""https://docs.google.com/document/d/stuv012""}, {""label"": ""Technical Architecture"", ""url"": ""https://drive.google.com/file/d/wxyz345""}]","2025-07-30 10:20:42",
11,https://images.unsplash.com/photo-1465101178521-c1a9136a3b99?auto=format&fit=crop&w=400&q=80,"Rural Connectivity Project",Active,80,Connectivity,govt,"Department of Telecommunications",3800000,"[{""label"": ""Connectivity Assessment"", ""url"": ""https://docs.google.com/document/d/abcd678""}]","2025-07-30 10:20:42",
13,abcd,test,Active,0,,,,,,"2025-07-31 07:33:51","2025-07-31 07:34:23"
